filename;caption
127490019_7c5c08cb11.jpg;A girl is getting ready to swing the club .
127490019_7c5c08cb11.jpg;A woman in shorts and a blue sleeveless shirt leans over a golf club .
127490019_7c5c08cb11.jpg;A woman is taking a swing with a golf club .
127490019_7c5c08cb11.jpg;A woman wearing a blue shirt and hat with khaki shorts plays golf .
127490019_7c5c08cb11.jpg;A woman wearing blue begins a golf swing .
1299459562_ed0e064aee.jpg;Three boys in baggy bathing suits play in splashing water in front a of grey , block wall .
1299459562_ed0e064aee.jpg;three boys in size order getting wet next to a wall
1299459562_ed0e064aee.jpg;Three boys play in a spray of water .
1299459562_ed0e064aee.jpg;Three boys playing in some water .
1299459562_ed0e064aee.jpg;Three shirtless boys are playing in the water .
1347519824_e402241e4f.jpg;A few girls with green foam statue of liberty hats on a train
1347519824_e402241e4f.jpg;Some young adults are wearing green foam statute of liberty crowns .
1347519824_e402241e4f.jpg;Some young people take photos of each other while in New York .
1347519824_e402241e4f.jpg;Three woman with statue of liberty hats and taking a picture .
1347519824_e402241e4f.jpg;Two woman wearing statue of liberty hats get their picture taken in a subway .
1434607942_da5432c28c.jpg;A child rides on a man 's shoulders .
1434607942_da5432c28c.jpg;A child wearing a red jacket is sitting on the man 's shoulders .
1434607942_da5432c28c.jpg;A man carrying a girl on his shoulders .
1434607942_da5432c28c.jpg;A small child in a red jacket is sitting on a man 's shoulders and holding his head .
1434607942_da5432c28c.jpg;A white man with carrying hair and a beard with a child on his shoulders .
146577646_9e64b8c2dc.jpg;A kayaker is battling waves in a purple boat while wearing rain gear .
146577646_9e64b8c2dc.jpg;A man is paddling in whitewater rapids .
146577646_9e64b8c2dc.jpg;A man kayaks in rough water .
146577646_9e64b8c2dc.jpg;Man in a kayak swimming in rough waters .
146577646_9e64b8c2dc.jpg;Person kayaking in white water .
148512773_bae6901fd6.jpg;A couple enjoys a quiet moment near the river .
148512773_bae6901fd6.jpg;A few people sit out on rocks overlooking the water below .
148512773_bae6901fd6.jpg;Two people are sitting on a rock overlooking the river .
148512773_bae6901fd6.jpg;Two people sit on top of a cliff overlooking a river .
148512773_bae6901fd6.jpg;Two people sit upon large rocks next to a river .
1810651611_35aae644fb.jpg;A closeup of a little girl on a swing .
1810651611_35aae644fb.jpg;A little girl in a dress with pink flowers swings on a red-seated swing .
1810651611_35aae644fb.jpg;A little girl in a pink and white flowered dress and blue sweater swinging .
1810651611_35aae644fb.jpg;A young girl is swinging in a backyard .
1810651611_35aae644fb.jpg;The little girl swings in the backyard .
1813777902_07d1d4b00c.jpg;a boy dressed as a pirate smiles largley .
1813777902_07d1d4b00c.jpg;A boy with a skeleton on his shirt laughs .
1813777902_07d1d4b00c.jpg;A child dressed like a pirate smiles .
1813777902_07d1d4b00c.jpg;A young boy dressed as a pirate and running .
1813777902_07d1d4b00c.jpg;The boys enjoys his pirate costume .
1932161768_996eadac87.jpg;a small dog steps onto a log .
1932161768_996eadac87.jpg;A small white dog climbs over a log .
