filename;caption
2973269132_252bfd0160.jpg;A large wild cat is pursuing a horse across a meadow .
270263570_3160f360d3.jpg;Two brown dogs fight on the leafy ground .
2053006423_6adf69ca67.jpg;A man in shorts is standing on a rock looking out at the view from the hilltop .
512101751_05a6d93e19.jpg;a muzzled white dog is running on the grass .
3156406419_38fbd52007.jpg;A person skiing downhill .
3030823649_3b7b6c728d.jpg;Shepherd dog catches tennis ball
3218861747_5c5c547b66.jpg;A skateboarder is riding on a red ramp by the ocean .
2966190737_ceb6eb4b53.jpg;Two men dressed in white hit a ball while a third man walks up .
3547000169_40191e02ca.jpg;Three men sit at the counter in a restaurant .
3300019891_8f404d94a1.jpg;There is a large gathering of people in costumes outside on the street .
3485816074_363cab4bff.jpg;A rugby player attempts to break free of an opposing player with both teams closing in .
374124237_51f62b6937.jpg;A woman is propping her leg up revealing cleavage , a great tatoo , and some kicking boots .
3404012438_9baf8dcbaf.jpg;As the dog swims close , the duck flies away .
3544673666_ffc7483c96.jpg;A brown dog leaps in the air to catch a white volleyball .
2351762979_0941aecced.jpg;Young child climbing on a chain link fence .
2911928620_06c3fa293e.jpg;A professional motorcycle racer raises his arm in victory .
3661072592_2e693cd5a0.jpg;A small girl puts confetti on a smiling woman 's hair .
3512033861_a357bb58b6.jpg;a very large group of people standing crowded together outside .
2792409624_2731b1072c.jpg;The black and white dog is running on the grass .
3498997518_c2b16f0a0e.jpg;Football players on a feild the one on the left in a blue uniform the one on the right in a white one with the fans in the back .
469969326_4b84073286.jpg;A woman sits on a rock by the water .
2366421102_2d60d53a0e.jpg;A girl in pink picks flowers .
404702274_fa8b3fe378.jpg;A black and white dog is leaping from a snowy path .
3399798295_a452963365.jpg;Two women with their arms around each other smile into the camera .
3302804312_0272091cd5.jpg;A brown and white dog runs beside a wooden fence with a tennis ball in his mouth .
3471066276_fb1e82e905.jpg;A black dog chasing another black dog down a grass covered hill .
3549006919_3604bc813e.jpg;a man wearing a yellow helmet climbing the side of a large rock wall .
3095225232_2e6e6dc92e.jpg;people go up the escalator .
2192333873_2a0cbe849d.jpg;Two children play in the snow with a sled .
3549011001_26cace3646.jpg;People in a brown boat float down the street of a city built on water .
2934325103_e9b8d7430f.jpg;A person on a bmx bike .
2244024374_54d7e88c2b.jpg;Two dogs fight over a stick in a flooded field .
2748435417_ea7bbcc17c.jpg;Skateboarder on the gray steps on a large building
3262301835_9f1a49b80a.jpg;Three people are waiting on the curb as a man walks by .
2457052334_b5a1d99048.jpg;A man climbing the face of a rock .
3125628091_25a31709df.jpg;Child on couch , holding red cloth with white fur .
3494105596_f05cb0d56f.jpg;Man in t-shirt and red shorts kicking soccer ball .
247097023_e656d5854d.jpg;A man stands on a rock and takes in the view .
2944836001_b38b516286.jpg;Man holding a ball while a dog jumps up for it
462198798_89e2df0358.jpg;A black dog walks along a marsh 's edge .
3396043950_12783c5147.jpg;people in a school cafeteria with a boy in the foreground wearing yellow and brown stripes
3415113018_7b95ddcd11.jpg;A soccer game on a grassy field .
2923891109_ea0cc932ed.jpg;A small dog carries a yellow ball through the grass .
2192475933_d779bf42eb.jpg;child wearing a hat at the beach
2411824767_4eb1fae823.jpg;A corgi jumps off a bale of hay , m water and buildings behind it .
519059913_4906fe4050.jpg;A brown-haired boy in swim trunks is flipped backwards over a swimming pool .
2476214153_99a3998509.jpg;A young boy kicks a ball in an outdoor court .
195962790_3380aea352.jpg;A woman sits with her feet in a shallow pool and looks at a puppy .
3616808182_fb4eaec778.jpg;Extreme downhill mountain biking .
3472364264_dbde5a8d0a.jpg;A dog running on a beach .
3291255271_a185eba408.jpg;A boy leans on a baseball bat and holds out one arm outstreached .
2789238858_14261dd25a.jpg;a muzzled greyhound dog running around a track
3614595423_f9e0ab4fb0.jpg;Eight tan children making faces in a tree
2552949275_b8cdc450cc.jpg;a brown dog jumping into the beach
2346402952_e47d0065b6.jpg;Two women reviewing pictures they took .
2755952680_68a0a1fa42.jpg;A guy is doing a trick on a bike .
976392326_082dafc3c5.jpg;Two people sit in the distance on an unusual rock formation .
2420730259_86e7f8a815.jpg;A man holding and kissing a crying little boy on the cheek .
2659606300_bea3feaf8b.jpg;A small child climbs stairs at a beach .
2553188198_da1123a723.jpg;Two dogs stand in a puddle , and one has a yellow tennis ball .
2108799322_e25aa6e185.jpg;A dog running through mucky ground .
3060594966_030658d318.jpg;A young boy walks down a sidewalk .
1309330801_aeeb23f1ee.jpg;Two girls are performing tricks on a trampoline .
3119076670_64b5340530.jpg;A snowboarder flies in the air .
3275711232_e261143664.jpg;A woman outside covers her face with fabric .
1921398767_771743bf4e.jpg;A dog has a wetsuit in his mouth on the beach .
2318659263_c24005a5cb.jpg;A fluffy white dog running across the snow .
615916000_5044047d71.jpg;A woman with black hair and a weird outfit on .
2559921948_06af25d566.jpg;a little boy at the beach with a surfboard
2265367960_7928c5642f.jpg;A child holding some shoes .
2698614194_b4e6e11dff.jpg;Five young men playing rugby .
3208999896_dab42dc40b.jpg;A couple taking a wedding photo with their wedding party .
3201666946_04fe837aff.jpg;A man , woman , and child .
241347214_5f19e7998c.jpg;Three football players wearing red jerseys are on the field .
502884177_25939ac000.jpg;A woman in a red vest stands in a crowd .
3110018626_307a123b59.jpg;Two brown and black dogs run through the dry grass .
3016708786_3591106cca.jpg;Three men with mouths open and one is holding a fake sword
561179890_af8e31cb2e.jpg;A bearded man with a backpack on his back holding a tripod in front of a rocky creek and bridge .
2637510448_4521cf6f29.jpg;Person in pink skis wearing skis on a slope .
3091382602_60b9b53ed1.jpg;Two guys act silly and pose for a photo .
58363928_6f7074608c.jpg;The man is hiking up a grassy mountainside .
3087095548_6df7c2a8ed.jpg;Many people standing on a bridge over murky water .
3289433994_4c67aab384.jpg;Two black dogs run with a tennis ball across the snowy dirt .
316577571_27a0e0253e.jpg;A white dog is chasing behind a black and white dog .
221973402_ecb1cd51f1.jpg;a black dog chases a boy wearing red and blue .
166321294_4a5e68535f.jpg;Motorcyclist crouches low as he rounds a turn .
